"","l2.t.0.582496032714844","l2.t.0.445651196128444","l2.t.0.308806359542044","l2.t.0.171961522955644","l2.t.0.0351166863692435","l2.t0.101728150217157","l2.t0.238572986803557","l2.t0.375417823389957","l2.t0.512262659976357","l2.t0.649107496562757","l2.t0.785952333149157","l2.t0.922797169735557","l2.t1.05964200632196","l2.t1.19648684290836","l2.t1.33333167949476","l2.t1.47017651608116","l2.t1.60702135266756","l2.t1.74386618925396","l2.t1.88071102584036","l2.t2.01755586242676"
"Cybrd1",0.351846043711322,0.602677289680487,0.663081413988901,0.507868857052393,0.53086224096525,0.750792424345385,0.77229629151893,0.597320099361945,0.425148245307502,0.291701576186876,0.193459620642447,0.126901907316596,0.088507964851702,0.0747573218901447,0.0821295070743066,0.107104049046567,0.146160476449305,0.195778317924905,0.252437102115742,0.312616357664198
"Anxa8",-0.762278340866618,-0.113463393582821,0.525236330135155,1.10308610339824,1.46001031962298,1.51802135676838,1.31142299925199,0.974318910024771,0.661688731633259,0.399654617554378,0.183616925577889,0.00897601349354894,-0.128867760908872,-0.234514039839625,-0.312562465508942,-0.367612680127062,-0.40426432590423,-0.427117045050675,-0.440770479776641,-0.449824272292373
"Hspa1b",0.716755289599915,0.283110499607111,0.0255345726768741,-0.0112343812566076,-0.114560867092178,-0.312121822091172,-0.337162572660759,-0.193822192696416,-0.0210093418999916,0.154093868215217,0.331279223165672,0.510338508467852,0.691063509638234,0.873246012193292,1.0566778016495,1.24115066352333,1.42645638333127,1.61238674658977,1.79873353881533,1.98528854552442
"Idi1",0.561270502359269,0.354751401317104,0.434401041263477,0.897703963262593,1.35438465943503,1.45678807649646,1.02650135538818,0.296313700949236,-0.351607578876802,-0.854134213955904,-1.22448389926507,-1.4758743297813,-1.62152320048158,-1.67464820634289,-1.64846704234225,-1.55619740345663,-1.41105698466305,-1.22626348093848,-1.01503458725993,-0.790587998604384
"Mettl7a1",-0.750751484263589,-0.529568812521894,-0.307002174378293,-0.085052027432042,0.124986664030336,0.308905651332609,0.45327274099675,0.565860720583125,0.66335310714958,0.749789350201045,0.82617455369342,0.89351382158262,0.952812257824553,1.00507496637513,1.05130705119025,1.09251361622582,1.12969976543777,1.16387060278199,1.19603123221439,1.22718675769088
"Alx4",2.74524329771428,1.73568923408019,0.956848801413348,0.50067775164661,0.109990062640314,-0.266006800742263,-0.431295024636364,-0.425792727328399,-0.400051289570793,-0.382653568455323,-0.372841044287262,-0.369855197371873,-0.372937508014404,-0.381329456520119,-0.394272523194282,-0.411008188342147,-0.430777932268972,-0.452823235280026,-0.476385577680555,-0.500706439775826
"4931406P16Rik",0.249205909826142,-0.400434299004973,-0.436824186669963,0.222717845120484,0.31277331918126,-0.294890180941355,-0.448067799974396,-0.0841293662954904,0.30277260308812,0.621374475980459,0.877885352062534,1.07851433101538,1.22947051252004,1.3369629962575,1.40720088190883,1.44639326915502,1.46074925767712,1.45647794715613,1.43978843727309,1.41688982770904
"Hrct1",0.248313529419247,0.344911437949412,0.349195178818142,0.297006205132819,0.548615853592893,1.0255283677375,1.19968584935823,1.06733915645282,0.885029921174471,0.702678107824018,0.520287587135298,0.337862229842136,0.155405906678357,-0.0270775116222115,-0.209584154325742,-0.392110150698408,-0.574651630006384,-0.757204721515837,-0.939765554492947,-1.12233025820388
"Gm1673",2.16162588122671,0.784730383800546,0.237747339291874,0.662317261052991,0.45186434465712,-0.595030990837457,-1.0801660428476,-0.92071923516886,-0.708827054957796,-0.555571773968984,-0.455622765000408,-0.403649400850041,-0.394321054315867,-0.422307098195848,-0.482276905287982,-0.568899848390223,-0.67684530030056,-0.800782633816968,-0.935381221737427,-1.0753104368599
"D630033O11Rik",-0.0290373745068994,-0.0412994947657635,-0.049373427573582,-0.0448527851169241,-0.00742255375422753,0.0800717608929698,0.225715091709225,0.399561536192852,0.559304376415692,0.69830606241483,0.818452153665142,0.921628209641518,1.00971978981884,1.08461245367198,1.14819176067584,1.20234327030528,1.24895254203519,1.28990513534046,1.32708660969596,1.36238252457658
