"","l1.t.0.580472279743976","l1.t.0.473299333927341","l1.t.0.366126388110706","l1.t.0.258953442294071","l1.t.0.151780496477436","l1.t.0.0446075506608015","l1.t0.0625653951558334","l1.t0.169738340972468","l1.t0.276911286789103","l1.t0.384084232605738","l1.t0.491257178422373","l1.t0.598430124239008","l1.t0.705603070055643","l1.t0.812776015872277","l1.t0.919948961688912","l1.t1.02712190750555","l1.t1.13429485332218","l1.t1.24146779913882","l1.t1.34864074495545","l1.t1.45581369077209"
"Crispld2",-0.405180996150972,-0.458789307006461,-0.501952729373779,-0.519986683505747,-0.431052436764878,-0.114560472249422,0.365070474775448,0.778597718320541,0.998403598482752,1.09898891901922,1.15605981596928,1.18311231667652,1.18225423921597,1.15559340166267,1.10523762209164,1.03329471857791,0.941872509196492,0.833078812022424,0.709021445130731,0.571808226596432
"Ptgfr",2.15630091243645,1.84572760748934,1.46188269775646,0.946611569543521,0.383823785907785,-0.0463387283772699,-0.286442667246237,-0.390445464555203,-0.416891951841956,-0.425614638709477,-0.462683677203077,-0.533240153961378,-0.63493266329667,-0.765409799521276,-0.9223201569475,-1.10331232988766,-1.30603491265406,-1.52813649955902,-1.76726568491485,-2.02107106303386
"Col4a2",3.07186408962892,1.55882199445691,0.385225306760861,-0.157239485413221,-0.130578453735354,0.151494927281655,0.452325469898031,0.609872700007037,0.557546711157533,0.403480380923684,0.24650297532582,0.101213120445048,-0.0332098548316059,-0.157586621617117,-0.272737851024466,-0.379484214166617,-0.478646382156549,-0.571045026107226,-0.657500817131631,-0.738834426342738
"Hba-a1",-1.00696349629664,-0.931188048702775,-0.777009090616445,-0.476885340271037,-0.0426611044618816,0.455306091563466,0.925920451094652,1.26131248943423,1.41375887514461,1.44983578202619,1.43174019038334,1.37159204974995,1.27234418685756,1.13694942843769,0.968360601221844,0.769530531941562,0.543412047328351,0.292957974113741,0.0211211390292519,-0.269145631193604
"Lpl",0.533364229537311,0.243207979448513,0.0276354897499528,-0.0527767007697319,-0.0631910382978379,-0.152366056167131,-0.330715108554122,-0.484100652004334,-0.551478164839936,-0.57992746973472,-0.615105741827204,-0.663304905760374,-0.723610666481528,-0.79510872893797,-0.876884798077,-0.968024578845917,-1.06761377619203,-1.17473809506263,-1.28848324040502,-1.4079349171665
"Nav3",-2.79097959846543,-2.24112671213057,-1.67706964112678,-1.08468094750584,-0.438366113190025,0.286817227205581,0.947215810188192,1.25057887119433,1.09339537843057,0.73713527031102,0.415234402007846,0.159864604079468,-0.0336457718710767,-0.169968374240753,-0.253774851426496,-0.289736851825265,-0.282526023834016,-0.236814015849688,-0.157272476269253,-0.0485730534896503
"Tyrobp",-0.357977087500088,-0.3370949145523,-0.28692199412432,-0.180814813678154,-0.00250410482995671,0.253745688985733,0.536545742687665,0.74426804922271,0.828846938915375,0.84632947168869,0.84929340010703,0.846231945124952,0.837568194369709,0.823725235468558,0.805126156048752,0.782194043737546,0.755351986162196,0.725023070949956,0.69163038572808,0.655597018123824
"Ramp3",-0.397939168347176,-0.293242097870994,-0.160597948657009,0.0234693545187782,0.245949326021249,0.467820466331646,0.657159817424961,0.789065204385949,0.857287023150343,0.890215923756616,0.91297617014397,0.929807265922477,0.941125541489061,0.947347327240655,0.94888895357418,0.946166750886563,0.939597049574737,0.929596180035626,0.916580472666148,0.900966257863245
"C3",1.27692564994304,1.09914803487682,0.947487612020323,0.839909631714334,0.705967150587958,0.419140220761998,0.00120109509159809,-0.393296803988887,-0.67290844931906,-0.873708581662018,-1.03516541011592,-1.16524816236615,-1.26615984900575,-1.34010348062777,-1.38928206782526,-1.41589862119129,-1.4221561513189,-1.41025766880114,-1.38240618423108,-1.34080470820175
"Trem2",-2.23151761834515,-1.82846071143804,-1.4070815075796,-0.951922290816071,-0.470535315719181,0.0114894678930349,0.442241272070207,0.747153278090502,0.901211429820038,0.974148733713089,1.02841028925054,1.07416350719865,1.112005822131,1.14253466862118,1.1663474812428,1.18404169456944,1.19621474317469,1.20346406163215,1.2063870845154,1.20558124639805
